Month of Period End,Month,Year,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
February 2012,February,2012,$160K,"306,330","518,491","2,106,969",97,95.8%
March 2012,March,2012,$170K,"396,030","627,645","2,148,144",93,96.2%
April 2012,April,2012,$178K,"406,685","612,647","2,184,995",81,96.5%
May 2012,May,2012,$186K,"466,258","615,094","2,194,184",72,96.9%
June 2012,June,2012,$193K,"490,092","580,912","2,177,167",68,97.0%
July 2012,July,2012,$192K,"453,024","545,157","2,141,248",68,97.1%
August 2012,August,2012,$190K,"488,056","540,207","2,079,939",70,97.0%
September 2012,September,2012,$187K,"394,422","481,954","2,040,007",72,97.0%
October 2012,October,2012,$184K,"425,306","489,700","1,965,710",73,96.9%
November 2012,November,2012,$189K,"400,555","388,388","1,852,188",73,96.9%
December 2012,December,2012,$193K,"392,946","299,814","1,693,335",76,96.9%
January 2013,January,2013,$179K,"313,096","492,263","1,707,651",79,96.8%
February 2013,February,2013,$181K,"323,830","508,818","1,742,540",79,97.0%
March 2013,March,2013,$192K,"421,908","611,520","1,785,909",71,97.3%
April 2013,April,2013,$199K,"462,569","693,934","1,872,222",61,97.7%
May 2013,May,2013,$208K,"537,529","709,432","1,942,044",54,97.9%
June 2013,June,2013,$218K,"529,107","654,861","1,985,017",52,98.0%
July 2013,July,2013,$219K,"551,107","654,881","2,015,220",53,98.0%
August 2013,August,2013,$216K,"541,500","616,737","2,015,582",54,97.8%
September 2013,September,2013,$209K,"451,421","553,758","2,020,086",58,97.6%
October 2013,October,2013,$209K,"450,627","544,559","1,991,602",61,97.4%
November 2013,November,2013,$207K,"386,437","408,301","1,890,148",64,97.2%
December 2013,December,2013,$211K,"410,979","309,049","1,721,901",69,97.1%
January 2014,January,2014,$199K,"304,987","479,185","1,738,367",76,96.8%
February 2014,February,2014,$201K,"312,876","495,301","1,773,886",79,97.0%
March 2014,March,2014,$209K,"394,817","647,089","1,846,729",71,97.2%
April 2014,April,2014,$215K,"446,533","723,032","1,916,731",60,97.5%
May 2014,May,2014,$221K,"510,447","748,503","1,992,055",52,97.7%
June 2014,June,2014,$229K,"545,710","705,490","2,069,863",48,97.8%
July 2014,July,2014,$228K,"537,682","678,201","2,143,993",46,97.7%
August 2014,August,2014,$226K,"518,058","604,687","2,133,261",51,97.5%
September 2014,September,2014,$219K,"472,711","577,095","2,114,903",56,97.3%
October 2014,October,2014,$219K,"483,152","559,265","2,052,118",61,97.1%
November 2014,November,2014,$219K,"380,265","399,817","1,924,952",64,97.1%
December 2014,December,2014,$221K,"447,572","329,586","1,750,135",68,97.0%
January 2015,January,2015,$213K,"311,190","515,185","1,753,752",76,96.7%
February 2015,February,2015,$215K,"337,202","527,660","1,767,526",76,97.0%
March 2015,March,2015,$225K,"460,611","706,614","1,829,519",67,97.5%
April 2015,April,2015,$231K,"498,321","796,209","1,944,620",55,97.8%
May 2015,May,2015,$238K,"547,286","781,110","2,031,050",48,98.0%
June 2015,June,2015,$244K,"635,180","759,076","2,067,237",45,98.1%
July 2015,July,2015,$242K,"626,363","726,549","2,082,846",45,98.0%
August 2015,August,2015,$239K,"566,360","646,117","2,052,455",47,97.9%
September 2015,September,2015,$233K,"528,454","606,881","2,022,764",50,97.7%
October 2015,October,2015,$232K,"499,391","570,307","1,950,826",54,97.5%
November 2015,November,2015,$233K,"395,829","434,585","1,822,925",57,97.4%
December 2015,December,2015,$238K,"490,795","340,034","1,634,502",60,97.4%
January 2016,January,2016,$228K,"343,154","501,549","1,624,186",66,97.2%
February 2016,February,2016,$227K,"367,380","588,114","1,659,780",69,97.3%
March 2016,March,2016,$239K,"488,771","757,000","1,740,263",60,97.8%
April 2016,April,2016,$245K,"528,854","778,634","1,814,110",49,98.1%
May 2016,May,2016,$251K,"594,080","762,108","1,852,204",43,98.4%
June 2016,June,2016,$259K,"663,894","762,000","1,893,512",41,98.4%
July 2016,July,2016,$256K,"587,533","685,080","1,911,250",41,98.4%
August 2016,August,2016,$255K,"616,878","661,920","1,871,446",44,98.2%
September 2016,September,2016,$252K,"554,657","615,805","1,851,519",47,98.0%
October 2016,October,2016,$251K,"505,069","542,234","1,766,685",50,97.9%
November 2016,November,2016,$254K,"478,091","445,199","1,631,540",51,97.8%
December 2016,December,2016,$254K,"499,685","333,540","1,445,207",55,97.7%
January 2017,January,2017,$246K,"362,574","509,377","1,433,347",60,97.5%
February 2017,February,2017,$247K,"370,729","571,842","1,464,093",60,97.7%
March 2017,March,2017,$257K,"536,046","769,854","1,540,506",50,98.1%
April 2017,April,2017,$262K,"518,885","730,832","1,603,350",41,98.5%
May 2017,May,2017,$269K,"633,599","807,461","1,662,582",38,98.7%
June 2017,June,2017,$276K,"695,591","788,125","1,721,087",35,98.8%
